iter	TotalF1	MultiClass
0	0.7637165702	1.070249217
1	0.7637165702	1.046748732
2	0.7759197324	1.030492252
3	0.7217675941	0.9979652328
4	0.7217675941	0.9763188372
5	0.7217675941	0.9574943106
6	0.7217675941	0.933162412
7	0.7217675941	0.9149285894
8	0.7217675941	0.8916014761
9	0.7217675941	0.8797047695
10	0.7217675941	0.8612159563
11	0.7217675941	0.8456397701
12	0.7217675941	0.824551784
13	0.7217675941	0.8052370598
14	0.7217675941	0.7932701106
15	0.7217675941	0.7773409844
16	0.7217675941	0.7674536983
17	0.7217675941	0.7531430844
18	0.7217675941	0.7420960014
19	0.7217675941	0.7308305595
20	0.7217675941	0.7214906046
21	0.7217675941	0.7153718176
22	0.7217675941	0.7054624125
23	0.7217675941	0.6986920155
24	0.7217675941	0.6896319665
25	0.7217675941	0.6844432691
26	0.7217675941	0.6750207659
27	0.7217675941	0.6659904796
28	0.7217675941	0.6598424999
29	0.7217675941	0.6516127007
30	0.7217675941	0.6445277719
31	0.7217675941	0.6385653407
32	0.7217675941	0.6319447997
33	0.7217675941	0.6240649505
34	0.7217675941	0.6180779538
35	0.7217675941	0.6134120538
36	0.7217675941	0.6084536986
37	0.7217675941	0.6020575508
38	0.7217675941	0.5960273679
39	0.7217675941	0.5898885157
40	0.7217675941	0.585973203
41	0.7217675941	0.580718043
42	0.7217675941	0.5759917005
43	0.7217675941	0.5725043597
44	0.7217675941	0.5681551681
45	0.7217675941	0.5640415225
46	0.7217675941	0.5595752386
47	0.7217675941	0.5567076989
48	0.7217675941	0.5534769358
49	0.7217675941	0.5502219386
50	0.7217675941	0.5465345421
51	0.7217675941	0.5422128474
52	0.7217675941	0.5392650798
53	0.7217675941	0.535765169
54	0.7217675941	0.5317807201
55	0.7217675941	0.5292948159
56	0.7217675941	0.5265493541
57	0.7217675941	0.5240267487
58	0.7217675941	0.520321623
59	0.7217675941	0.5172541654
60	0.7217675941	0.5153920707
61	0.7217675941	0.5120070199
62	0.7217675941	0.5079782627
63	0.7217675941	0.5055334694
64	0.7217675941	0.5032794044
65	0.7551695616	0.5002261713
66	0.7551695616	0.4981194015
67	0.7551695616	0.4953582291
68	0.7551695616	0.4932695055
69	0.7551695616	0.4915883747
70	0.7551695616	0.4897186606
71	0.7551695616	0.4873266517
72	0.7551695616	0.4848777957
73	0.7551695616	0.4829977402
74	0.7551695616	0.4805139222
75	0.7551695616	0.4788070173
76	0.7551695616	0.4773743322
77	0.7551695616	0.4763328315
78	0.7551695616	0.4736518829
79	0.7551695616	0.4716036666
80	0.7551695616	0.4695496135
81	0.7551695616	0.4679447351
82	0.7551695616	0.4653229451
83	0.7551695616	0.4638916369
84	0.7759197324	0.4617144599
85	0.7759197324	0.4602154718
86	0.7759197324	0.4577730873
87	0.7759197324	0.4552020216
88	0.8182117028	0.452270647
89	0.8182117028	0.4509573474
90	0.8182117028	0.4488597151
91	0.8182117028	0.4467745446
92	0.8182117028	0.4451593188
93	0.8182117028	0.443781451
94	0.8182117028	0.4418520214
95	0.8182117028	0.4395956993
96	0.8182117028	0.4363774321
97	0.8182117028	0.4356131856
98	0.8182117028	0.4339284388
99	0.8182117028	0.432715398
100	0.8182117028	0.4311226788
101	0.8182117028	0.4298312279
102	0.8182117028	0.427243197
103	0.8182117028	0.4251195238
104	0.8182117028	0.4238924334
105	0.8182117028	0.4226742576
106	0.8182117028	0.4198174492
107	0.8182117028	0.4166800508
108	0.8182117028	0.4151927013
109	0.8182117028	0.4122134869
110	0.8182117028	0.4112862686
111	0.8182117028	0.4099701024
112	0.8182117028	0.4078573921
113	0.8182117028	0.4056908645
114	0.8182117028	0.404132979
115	0.8182117028	0.4022357231
116	0.8182117028	0.4012661275
117	0.8182117028	0.3986281124
118	0.8182117028	0.3968504709
119	0.8182117028	0.3953062487
120	0.8182117028	0.3928241309
121	0.8182117028	0.3906401589
122	0.8182117028	0.3884226435
123	0.8182117028	0.3857687535
124	0.8182117028	0.3833218596
125	0.8182117028	0.3811461502
126	0.8182117028	0.3797642981
127	0.8182117028	0.3777045561
128	0.8182117028	0.3756797866
129	0.8182117028	0.3741002165
130	0.8182117028	0.3720926216
131	0.8182117028	0.3705995368
132	0.8182117028	0.3685590957
133	0.8182117028	0.3666612008
134	0.8182117028	0.365385228
135	0.8182117028	0.364039354
136	0.8182117028	0.36193516
137	0.8182117028	0.3600346965
138	0.8182117028	0.3581175913
139	0.8182117028	0.3566734096
140	0.8182117028	0.354348549
141	0.8182117028	0.3522507594
142	0.8182117028	0.3509109448
143	0.8182117028	0.3490518357
144	0.8182117028	0.3457893397
145	0.8182117028	0.3438309256
146	0.8182117028	0.3417208133
147	0.8182117028	0.3408081739
148	0.8182117028	0.3389898705
149	0.8182117028	0.3377725323
150	0.8182117028	0.336465448
151	0.8182117028	0.334478506
152	0.8182117028	0.3324004594
153	0.8182117028	0.330278285
154	0.8182117028	0.3290892366
155	0.8182117028	0.3273471388
156	0.8182117028	0.3254270823
157	0.8182117028	0.32425362
158	0.8182117028	0.3214519385
159	0.8182117028	0.3203929481
160	0.8182117028	0.3183442323
161	0.8182117028	0.3170366185
162	0.8182117028	0.3156309021
163	0.8182117028	0.3146379969
164	0.8182117028	0.3134665196
165	0.8182117028	0.3114176824
166	0.8182117028	0.3099002657
167	0.8538461538	0.3080161628
168	0.8538461538	0.3066319066
169	0.8538461538	0.3046987861
170	0.8538461538	0.3028347228
171	0.8538461538	0.3010215575
172	0.8538461538	0.2999301403
173	0.8538461538	0.298366074
174	0.8538461538	0.2964953427
175	0.8538461538	0.2952973148
176	0.8538461538	0.293888573
177	0.8846939577	0.2922931471
178	0.8846939577	0.2912581825
179	0.8846939577	0.2900122255
180	0.8846939577	0.2883660694
181	0.8846939577	0.2871069064
182	0.8846939577	0.2856334688
183	0.8846939577	0.2841533863
184	0.8846939577	0.283415423
185	0.8846939577	0.2819595456
186	0.8846939577	0.280543721
187	0.8846939577	0.2791906765
188	0.8846939577	0.2784061795
189	0.8846939577	0.2766208877
190	0.8846939577	0.2757250821
191	0.912004662	0.274409512
192	0.912004662	0.2724568985
193	0.912004662	0.2712140939
194	0.912004662	0.269792797
195	0.912004662	0.2687816891
196	0.912004662	0.2674309394
197	0.912004662	0.2662760312
198	0.912004662	0.2649585572
199	0.912004662	0.2637640895
200	0.912004662	0.2629124963
201	0.912004662	0.2618249456
202	0.912004662	0.2607130145
203	0.912004662	0.2598108754
204	0.9366455825	0.258365716
205	0.9366455825	0.256859454
206	0.9366455825	0.2551795109
207	0.959238436	0.2539533504
208	0.959238436	0.253234509
209	0.959238436	0.2518076932
210	0.959238436	0.2507104078
211	0.959238436	0.2499391614
212	0.959238436	0.2492953949
213	0.959238436	0.2483283752
214	0.959238436	0.2470124058
215	0.959238436	0.245756649
216	0.959238436	0.2446290269
217	0.959238436	0.2436776457
