iter	Passed	Remaining
0	221	132717
1	223	66720
2	223	44523
3	224	33390
4	224	26704
5	224	22272
6	225	19073
7	226	16732
8	226	14901
9	227	13411
10	227	12194
11	228	11178
12	228	10326
13	229	9592
14	229	8945
15	229	8381
16	229	7883
17	230	7443
18	230	7055
19	232	6728
20	232	6409
21	232	6118
22	233	5857
23	233	5612
24	234	5389
25	234	5180
26	234	4986
27	235	4818
28	237	4669
29	237	4518
30	238	4371
31	238	4239
32	239	4110
33	239	3992
34	258	4176
35	259	4065
36	261	3975
37	264	3905
38	264	3802
39	264	3705
40	265	3615
41	266	3538
42	266	3455
43	267	3378
44	267	3299
45	276	3334
46	285	3355
47	288	3312
48	288	3246
49	289	3179
50	290	3127
51	291	3071
52	291	3012
53	292	2959
54	293	2906
55	293	2851
56	298	2848
57	299	2800
58	300	2751
59	300	2702
60	301	2662
61	301	2617
62	302	2574
63	302	2536
64	303	2498
65	304	2467
66	306	2441
67	307	2405
68	366	2816
69	366	2776
70	367	2738
71	462	3390
72	469	3392
73	470	3344
74	564	3953
75	565	3897
76	565	3841
77	566	3789
78	647	4272
79	648	4214
80	689	4414
81	689	4355
82	696	4341
83	697	4283
84	697	4226
85	697	4171
86	708	4179
87	709	4126
88	709	4073
89	721	4088
90	722	4039
91	730	4031
92	736	4013
93	737	3968
94	742	3949
95	743	3904
96	801	4157
97	803	4114
98	806	4081
99	806	4033
100	807	3989
101	808	3945
102	808	3902
103	809	3860
104	809	3818
105	810	3779
106	811	3740
107	812	3700
108	812	3661
109	813	3624
110	814	3587
111	815	3554
112	816	3520
113	817	3485
114	818	3451
115	818	3416
116	819	3382
117	820	3349
118	820	3317
119	821	3285
120	821	3253
121	822	3222
122	823	3191
123	823	3161
124	824	3131
125	825	3103
126	825	3075
127	826	3047
128	826	3019
129	827	2991
130	828	2964
131	828	2937
132	829	2910
133	829	2884
134	829	2858
135	830	2833
136	831	2809
137	832	2786
138	832	2762
139	833	2738
140	834	2715
141	834	2691
142	835	2669
143	835	2646
144	837	2628
145	838	2606
146	838	2585
147	839	2564
148	840	2545
149	842	2526
150	844	2510
151	844	2490
152	845	2469
153	846	2451
154	847	2433
155	848	2414
156	849	2396
157	849	2377
158	850	2358
159	850	2340
160	851	2322
161	852	2305
162	853	2287
163	853	2270
164	854	2253
165	855	2237
166	856	2220
167	856	2203
168	858	2189
169	859	2173
170	860	2157
171	860	2141
172	861	2126
173	862	2110
174	862	2095
175	863	2080
176	863	2064
177	864	2049
178	865	2034
179	865	2019
180	866	2005
181	867	1992
182	868	1977
183	868	1963
184	869	1949
185	869	1935
186	870	1921
187	870	1908
188	871	1894
189	871	1881
190	872	1867
191	872	1854
192	873	1842
193	874	1829
194	874	1816
195	875	1803
196	875	1791
197	876	1778
198	876	1766
199	877	1755
200	881	1749
201	882	1737
202	882	1726
203	883	1714
204	883	1702
205	885	1693
206	886	1683
207	887	1672
208	887	1661
209	888	1650
210	889	1639
211	890	1630
212	891	1620
213	892	1610
214	893	1600
215	895	1592
216	896	1581
217	897	1571
218	897	1561
219	898	1551
220	899	1541
221	899	1531
222	900	1522
223	901	1513
224	902	1504
225	903	1494
226	903	1485
227	904	1475
228	905	1466
229	905	1457
230	906	1447
231	907	1439
232	908	1430
233	909	1422
234	910	1413
235	911	1405
236	912	1397
237	913	1389
238	914	1380
239	914	1372
240	915	1363
241	915	1354
242	916	1346
243	917	1339
244	918	1330
245	919	1322
246	919	1314
247	920	1306
248	921	1298
249	921	1290
250	922	1283
251	923	1275
252	924	1268
253	925	1260
254	930	1259
255	934	1255
256	936	1249
257	937	1242
258	937	1234
259	942	1232
260	942	1224
261	943	1216
262	946	1212
263	947	1205
264	947	1198
265	948	1191
266	949	1183
267	949	1176
268	950	1169
269	950	1162
270	952	1156
271	955	1152
272	956	1145
273	960	1142
274	960	1135
275	961	1128
276	961	1121
277	962	1114
278	966	1112
279	967	1105
280	968	1098
281	975	1100
282	976	1093
283	980	1091
284	981	1084
285	982	1078
286	983	1072
287	983	1065
288	984	1059
289	984	1052
290	985	1046
291	985	1039
292	987	1034
293	987	1028
294	988	1021
295	992	1019
296	994	1014
297	994	1008
298	995	1001
299	996	996
300	999	992
301	999	986
302	1000	980
303	1003	977
304	1010	977
305	1037	997
306	1038	990
307	1065	1010
308	1066	1004
309	1067	998
310	1067	992
311	1068	986
312	1069	980
313	1069	974
314	1076	973
315	1076	967
316	1077	961
317	1077	955
318	1078	949
319	1079	944
320	1086	944
321	1091	942
322	1104	947
323	1105	941
324	1107	936
325	1107	931
326	1108	925
327	1108	919
328	1109	913
329	1110	908
330	1110	902
331	1110	896
332	1111	891
333	1112	886
334	1113	880
335	1113	875
336	1114	869
337	1114	864
338	1115	858
339	1115	853
340	1116	847
341	1117	843
342	1118	837
343	1119	833
344	1120	828
345	1120	822
346	1121	817
347	1122	813
348	1126	809
349	1126	804
350	1128	800
351	1130	796
352	1130	791
353	1131	786
354	1132	781
355	1132	776
356	1133	771
357	1134	766
358	1134	761
359	1135	756
360	1136	752
361	1136	747
362	1137	742
363	1137	737
364	1139	733
365	1140	728
366	1140	724
367	1141	719
368	1142	714
369	1142	710
370	1143	705
371	1143	701
372	1145	696
373	1145	692
374	1146	687
375	1147	683
376	1148	679
377	1148	674
378	1149	670
379	1149	665
380	1151	661
381	1152	657
382	1152	653
383	1153	648
384	1153	644
385	1154	640
386	1155	635
387	1155	631
388	1157	627
389	1157	623
390	1158	619
391	1159	615
392	1159	610
393	1160	606
394	1160	602
395	1161	598
396	1162	594
397	1163	590
398	1163	586
399	1164	582
400	1164	577
401	1185	583
402	1199	586
403	1203	583
404	1204	580
405	1206	576
406	1212	575
407	1214	571
408	1217	568
409	1218	564
410	1236	568
411	1239	565
412	1244	563
413	1246	560
414	1255	559
415	1259	556
416	1260	553
417	1263	549
418	1264	546
419	1265	542
420	1266	538
421	1267	534
422	1268	530
423	1269	527
424	1271	523
425	1272	519
426	1273	516
427	1276	513
428	1277	509
429	1278	505
430	1280	502
431	1281	498
432	1282	494
433	1283	490
434	1284	487
435	1287	484
436	1290	481
437	1291	477
438	1292	474
439	1294	470
440	1295	466
441	1296	463
442	1297	459
443	1299	456
444	1301	453
445	1302	449
446	1305	446
447	1305	442
448	1306	439
449	1307	435
450	1309	432
451	1309	428
452	1310	425
453	1312	421
454	1313	418
455	1314	415
456	1315	411
457	1317	408
458	1318	404
459	1320	401
460	1324	399
461	1325	395
462	1326	392
463	1327	389
464	1329	385
465	1330	382
466	1332	379
467	1372	387
468	1374	384
469	1376	380
470	1377	377
471	1378	373
472	1379	370
473	1379	366
474	1381	363
475	1382	360
476	1383	356
477	1384	353
478	1384	349
479	1385	346
480	1385	342
481	1387	339
482	1388	336
483	1389	332
484	1390	329
485	1390	326
486	1391	322
487	1393	319
488	1393	316
489	1394	313
490	1395	309
491	1396	306
492	1396	303
493	1397	299
494	1399	296
495	1399	293
496	1400	290
497	1401	287
498	1402	283
499	1402	280
500	1404	277
501	1415	276
502	1419	273
503	1420	270
504	1421	267
505	1422	264
506	1423	261
507	1424	258
508	1425	254
509	1426	251
510	1426	248
511	1427	245
512	1427	242
513	1428	239
514	1429	236
515	1430	232
516	1431	229
517	1431	226
518	1432	223
519	1432	220
520	1433	217
521	1434	214
522	1434	211
523	1436	208
524	1437	205
525	1437	202
526	1438	199
527	1438	196
528	1439	193
529	1440	190
530	1440	187
531	1441	184
532	1442	181
533	1442	178
534	1443	175
535	1443	172
536	1444	169
537	1444	166
538	1445	163
539	1445	160
540	1446	157
541	1447	154
542	1447	151
543	1447	149
544	1448	146
545	1448	143
546	1449	140
547	1449	137
548	1450	134
549	1450	131
550	1451	129
551	1451	126
552	1452	123
553	1453	120
554	1454	117
555	1454	115
556	1455	112
557	1455	109
558	1456	106
559	1456	104
560	1457	101
561	1457	98
562	1458	95
563	1459	93
564	1459	90
565	1460	87
566	1460	85
567	1461	82
568	1461	79
